English (en),Hebrew (iw),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
earthy,עֲפָרִי,0,0,0,0,0,0,0,0,0,0
ease,קַלוּת,1,0,0,0,0,0,0,0,0,0
easel,כן,0,0,0,0,0,0,0,0,0,0
easement,הֲקָלָה,1,0,0,0,0,0,0,0,0,0
easily,בְּקַלוּת,0,0,0,0,0,0,0,0,0,0
easy,קַל,0,0,0,0,0,0,0,0,0,0
easygoing,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
eat,לאכול,1,0,0,0,0,0,0,0,0,0
eating,אֲכִילָה,0,0,0,0,0,0,0,0,0,0
eavesdropping,צִתוּת,0,1,0,0,0,0,0,0,0,0
ebb,שֵׁפֶל,0,0,0,0,0,0,0,0,0,0
ebony,הָבְנֶה,0,0,0,0,0,0,0,0,0,0
eccentric,אקסצנטרי,0,0,0,0,0,0,0,0,0,0
eccentricity,תִמהוֹנִיוּת,0,0,0,0,0,0,0,0,0,0
ecclesiastical,כנסייתי,0,0,0,0,0,0,0,0,0,0
echo,הֵד,0,0,0,0,0,0,0,0,0,0
eclectic,אֶקְלֶקְטִי,0,0,0,0,0,0,0,0,0,0
eclipse,ליקוי חמה,0,0,0,0,0,0,0,0,0,0
ecliptic,אקליפטית,0,0,0,0,0,0,0,0,0,0
economical,חסכוני,0,0,0,0,0,0,0,0,0,0
economics,כלכלה,0,0,0,0,0,0,0,0,0,0
economy,כַּלְכָּלָה,0,0,0,0,0,0,0,0,0,1
ecstasy,אֶקסְטָזָה,1,0,0,1,0,0,1,0,0,0
ecstatic,אֶקסְטָטִי,1,0,0,1,0,0,1,0,1,0
ecumenical,אֶקוּמֵנִי,0,0,0,0,0,0,0,0,0,0
eddy,מְעַרבּוֹלֶת,0,0,0,0,0,0,0,0,0,0
edge,קָצֶה,0,0,0,0,0,0,0,0,0,0
edging,שולי,0,0,0,0,0,0,0,0,0,0
edible,אָכִיל,0,0,0,0,0,0,0,0,0,0
edict,צַו,0,1,0,0,0,1,0,0,0,0
edification,הַבהָרָה,1,0,0,1,0,0,1,0,0,1
edifice,בִּניָן,0,0,0,0,0,0,0,0,0,0
edit,לַעֲרוֹך,0,0,0,0,0,0,0,0,0,0
edition,מַהֲדוּרָה,0,0,0,1,0,0,0,0,0,0
editor,עוֹרֵך,0,0,0,0,0,0,0,0,0,0
editorial,מאמר המערכת,0,0,0,0,0,0,0,0,0,0
educate,לְחַנֵך,1,0,0,0,0,0,0,0,0,0
educated,מְחוּנָך,1,0,0,0,0,0,0,0,0,0
education,חינוך,0,0,0,0,0,0,0,0,0,0
educational,חינוכית,1,0,0,0,0,0,0,0,0,1
eel,צְלוֹפָּח,0,0,0,0,0,1,0,0,0,0
effect,השפעה,0,0,0,0,0,0,0,0,0,0
effective,יָעִיל,1,0,0,0,0,0,0,0,0,1
effects,ההשפעות,0,0,0,0,0,0,0,0,0,0
effectual,יָעִיל,0,0,0,0,0,0,0,0,0,0
effectually,ובלים,0,0,0,0,0,0,0,0,0,0
effectuate,לאפשר,0,0,0,0,0,0,0,0,0,0
effeminate,נָשִׁי,0,1,0,0,0,0,0,0,0,0
efficacious,יָעִיל,0,0,0,0,0,0,0,0,0,0
efficacy,יעילות,1,0,0,0,0,0,0,0,0,0
efficiency,יְעִילוּת,1,0,0,0,0,0,0,0,0,0
efficient,יָעִיל,1,0,0,1,0,0,0,0,0,1
effigy,דְמוּת,0,0,1,0,0,0,0,0,0,0
effort,מַאֲמָץ,1,0,0,0,0,0,0,0,0,0
effusion,הִשׁתַפְּכוּת,0,0,0,0,0,0,0,0,0,0
egg,ביצה,0,0,0,0,0,0,0,0,0,0
ego,אֶגוֹ,0,0,0,0,0,0,0,0,0,0
egotistical,אנוכי,0,1,0,0,1,0,0,0,0,0
egregious,בּוֹלֵט,0,1,1,0,1,0,0,0,0,0
egress,יְצִיאָה,0,0,0,0,0,0,0,0,0,0
eighth,שמונה,0,0,0,0,0,0,0,0,0,0
eighty,שמונים,0,0,0,0,0,0,0,0,0,0
ejaculate,לְהִתְפַּרֵץ,0,0,0,0,0,0,0,0,0,0
ejaculation,הַפלָטָה,1,0,0,1,0,0,1,0,1,1
eject,לִפְלוֹט,0,1,0,0,0,0,0,0,0,0
ejection,פְּלִיטָה,0,1,0,0,0,0,0,0,0,0
elaborate,לְפַרֵט,0,0,0,0,0,0,0,0,0,0
elaboration,שִׁכלוּל,1,0,0,0,0,0,0,0,0,0
elan,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
elapse,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
elapsed,חלפו,0,0,0,0,0,0,0,0,0,0
elastic,אֵלַסטִי,0,0,0,0,0,0,0,0,0,0
elasticity,גְמִישׁוּת,0,0,0,0,0,0,0,0,0,0
elated,מרומם,1,0,0,0,0,0,1,0,0,0
elbow,מַרְפֵּק,0,0,1,0,0,0,0,0,0,0
eld,יַשׁנוּת,0,0,0,0,0,0,0,0,0,0
elder,זָקֵן,1,0,0,0,0,0,0,0,0,1
elderly,קָשִׁישׁ,0,0,0,0,0,0,0,0,0,0
elders,זקנים,1,0,0,0,0,0,0,0,0,1
eldest,בְּכוֹר,0,0,0,0,0,0,0,0,0,0
elect,לִבחוֹר,1,0,0,0,0,0,0,0,0,1
election,בְּחִירָה,0,0,0,0,0,0,0,0,0,0
elector,מַצבִּיעַ,0,0,0,0,0,0,0,0,0,0
electorate,ציבור,0,0,0,0,0,0,0,0,0,1
electric,חשמלי,1,0,0,0,0,0,1,0,1,0
electricity,חַשְׁמַל,1,0,0,0,0,0,0,0,0,0
elegance,אֵלֶגַנטִיוּת,1,0,0,1,0,0,1,0,0,1
elegant,אֵלֶגַנטִי,1,0,0,0,0,0,1,0,0,0
element,אֵלֵמֶנט,0,0,0,0,0,0,0,0,0,0
elementary,יְסוֹדִי,0,0,0,0,0,0,0,0,0,0
elements,אלמנטים,0,0,0,0,0,0,0,0,0,0
elephant,פיל,0,0,0,0,0,0,0,0,0,0
elevate,לְהַעֲלוֹת,0,0,0,0,0,0,0,0,0,0
elevation,גוֹבַה,1,0,0,1,0,1,1,0,0,1
elevator,מַעֲלִית,0,0,0,0,0,0,0,0,0,0
eleven,אחד עשר,0,0,0,0,0,0,0,0,0,0
eleventh,אַחַד עָשָׂר,0,0,0,0,0,0,0,0,0,0
elf,שֵׁדוֹן,0,0,1,0,1,1,0,0,0,0
elicit,לְהָפִיק,0,0,0,0,0,0,0,0,0,0
eligible,זכאי,1,0,0,0,0,0,0,0,0,0
elimination,חיסול,0,1,1,0,1,1,0,1,0,0
elite,עִלִית,1,0,0,1,0,0,1,0,0,1
elk,דִישׁוֹן,0,0,0,0,0,0,0,0,0,0
ell,ell,0,0,0,0,0,0,0,0,0,0
ellipse,אֶלִיפְּסָה,0,0,0,0,0,0,0,0,0,0
ellipsis,הַשׁמָטָה,0,0,0,0,0,0,0,0,0,0
ellipsoid,אליפסואידית,0,0,0,0,0,0,0,0,0,0
elliptic,אֶלִיפְּטִי,0,0,0,0,0,0,0,0,0,0
elliptical,סְגַלגַל,0,0,0,0,0,0,0,0,0,0
elongate,לְהַאֲרִיך,0,0,0,0,0,0,0,0,0,0
elongation,הַאֲרָכָה,0,0,0,0,0,0,0,0,0,0
eloquence,צַחוּת לָשׁוֹן,1,0,0,0,0,0,0,0,0,0
eloquent,אָמַן הַדִבּוּר,1,0,0,0,0,0,0,0,0,0
elucidate,לְהַבהִיר,1,0,0,0,0,0,0,0,0,1
elucidation,הבהרה,0,0,0,0,0,0,0,0,0,0
elude,לְהִתְחַמֵק,0,0,0,0,0,0,0,0,0,0
elusive,חֲמַקמַק,0,1,0,0,0,0,0,0,1,0
emaciated,כחוש,0,1,0,0,0,1,0,1,0,0
emanate,לִנְבּוּעַ,0,0,0,0,0,0,0,0,0,0
emancipation,שִׁחרוּר,1,0,0,1,0,0,1,0,0,0
embankment,סוֹלְלָה,0,0,0,0,0,0,0,0,0,0
embargo,NO TRANSLATION,0,1,0,0,0,0,0,0,0,0
embark,לַעֲלוֹת לְאֳנִיָה,0,0,0,0,0,0,0,0,0,0
embarrass,לִהַבִיך,0,1,0,0,0,0,0,1,0,0
embarrassing,מֵבִיך,0,1,0,0,0,0,0,0,0,0
embarrassment,מְבוּכָה,0,1,0,0,0,1,0,1,1,0
embassy,שגרירות,0,0,0,0,0,0,0,0,0,0
embed,לְשַׁבֵּץ,0,0,0,0,0,0,0,0,0,0
embellish,לְעַטֵר,0,0,0,0,0,0,0,0,0,0
embellishment,הַשׁבָּחָה,0,0,0,0,0,0,0,0,0,0
embers,גחלים,0,0,0,0,0,0,0,0,0,0
embezzlement,מְעִילָה,0,1,0,0,0,0,0,0,0,0
emblem,סֵמֶל,0,0,0,0,0,0,0,0,0,0
emblematic,סִמלִי,0,0,0,0,0,0,0,0,0,0
embodiment,הִתגַלְמוּת,0,0,0,0,0,0,0,0,0,0
embolism,תַסחִיף,0,1,0,0,0,1,0,1,0,0
embossed,מוטבע,0,0,0,0,0,0,0,0,0,0
embrace,לְחַבֵּק,1,0,0,1,0,0,1,0,1,1
embroidered,רקומים,0,0,0,0,0,0,0,0,0,0
embroidery,רִקמָה,0,0,0,0,0,0,0,0,0,0
embroiled,סָבוּך,0,1,0,0,0,0,0,0,0,0
embryo,עוּבָּר,0,0,0,0,0,0,0,0,0,0
embryonic,עוּבָּרִי,0,0,0,0,0,0,0,0,0,0
emerald,בַּרֶקֶת,0,0,0,0,0,0,0,0,0,0
emerge,לָצֵאת,0,0,0,0,0,0,0,0,0,0
emergence,הִתהַוּוּת,0,0,0,0,0,0,0,0,0,0
emergency,חרום,0,1,0,0,0,1,0,1,1,0
emeritus,אמריטוס,1,0,0,0,0,0,0,0,0,0
emigrate,לְהַגֵר,0,0,0,0,0,0,0,0,0,0
emigration,הֲגִירָה,0,0,0,0,0,0,0,0,0,0
eminence,בְּלִיטָה,1,0,0,0,0,0,0,0,0,1
eminent,דָגוּל,1,0,0,0,0,0,0,0,0,0
eminently,בהחלט,1,0,0,0,0,0,0,0,0,0
emir,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
emission,פְּלִיטָה,0,0,0,0,0,0,0,0,0,0
emit,לִפְלוֹט,0,0,0,0,0,0,0,0,0,0
emotion,רֶגֶשׁ,0,0,0,0,0,0,0,0,0,0
emotional,רִגשִׁי,0,0,0,0,0,0,0,0,0,0
emotive,רִגוּשִׁי,0,0,0,0,0,0,0,0,0,0
empathy,אֶמפַּתִיָה,1,0,0,0,0,0,0,0,0,0
emperor,קֵיסָר,0,0,0,0,0,0,0,0,0,0
emphasis,דָגֵשׁ,0,0,0,0,0,0,0,0,0,0
emphasize,להדגיש,0,0,0,0,0,0,0,0,0,1
emphatic,תַקִיף,0,0,0,0,0,0,0,0,0,0
empire,אימפריה,0,0,0,0,0,0,0,0,0,0
empirical,אֶמפִּירִי,0,0,0,0,0,0,0,0,0,0
empiricism,אֶמפִּירִיצִיזְם,0,0,0,0,0,0,0,0,0,0
employ,לְהַעֲסִיק,0,0,0,0,0,0,0,0,0,1
employer,מעסיק,0,0,0,0,0,0,0,0,0,0
employment,תעסוקה,0,0,0,0,0,0,0,0,0,0
emporium,אמפוריום,0,0,0,0,0,0,0,0,0,0
empower,להעצים,1,0,0,0,0,0,0,0,0,0
empress,קֵיסָרִית,0,0,0,0,0,0,0,0,0,0
emptiness,רֵיקָנוּת,0,0,0,0,0,0,0,1,0,0
emption,emption,0,0,0,0,0,0,0,0,0,0
empty,ריק,0,0,0,0,0,0,0,0,0,0
emulate,לחקות,1,0,0,0,0,0,0,0,0,0
emulsion,אֵמוּלְסִיָה,0,0,0,0,0,0,0,0,0,0
enable,לְאַפשֵׁר,1,0,0,0,0,0,0,0,0,1
enablement,איפשור,1,0,0,0,0,0,0,0,0,1
enact,לְחוֹקֵק,0,0,0,0,0,0,0,0,0,0
enactment,חקיקה,0,0,0,0,0,0,0,0,0,0
enamel,אֵימָל,0,0,0,0,0,0,0,0,0,0
encampment,מַאֲהָל,0,0,0,0,0,0,0,0,0,0
enchant,לְהַקְסִים,1,0,0,1,0,0,1,0,1,0
enchanted,קָסוּם,1,0,0,0,0,0,1,0,0,1
enchanting,מַקסִים,1,0,0,1,0,0,1,0,0,0
enchantment,קֶסֶם,0,0,0,0,0,0,0,0,0,0
encircle,לְכַתֵר,0,0,0,0,0,0,0,0,0,0
encircling,מקיפה,0,0,0,0,0,0,0,0,0,0
enclave,מובלעת,0,1,0,0,0,0,0,0,0,0
enclose,לְצַרֵף,0,0,0,0,0,0,0,0,0,0
encode,לְהַצְפִּין,0,0,0,0,0,0,0,0,0,0
encompass,לְהַקִיף,0,0,0,0,0,0,0,0,0,0
encore,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
encounter,פְּגִישָׁה,0,0,0,0,0,0,0,0,0,0
encourage,לְעוֹדֵד,1,0,0,0,0,0,1,0,0,1
encouragement,עידוד,1,0,0,0,0,0,0,0,0,0
encroach,לְהַסִיג גְבוּל,0,0,0,0,0,0,0,0,0,0
encroachment,הַסָגַת גְבוּל,0,1,0,0,0,1,0,0,0,0
encrypt,להצפין,0,0,0,0,0,0,0,0,0,0
encumbrance,מַעֲמָסָה,0,1,1,0,0,1,0,1,0,0
encyclopedia,אֶנצִיקלוֹפֶּדִיָה,1,0,0,0,0,0,0,0,0,1
end,סוֹף,0,0,0,0,0,0,0,0,0,0
endanger,לְסַכֵּן,0,1,0,1,0,1,0,0,0,0
endangered,בסכנה,0,1,0,0,0,1,0,0,0,0
endeavor,מַאֲמָץ,1,0,0,1,0,0,0,0,0,0
ended,הסתיים,0,0,0,0,0,0,0,0,0,0
endemic,אֶנדֵמִי,0,1,0,0,1,1,0,1,0,0
ending,סִיוּם,0,0,0,0,0,0,0,0,0,0
endless,אינסופי,1,1,1,0,0,1,1,1,0,1
endocarditis,דַלֶקֶת פְּנִים הַלֵב,0,0,0,0,0,1,0,1,0,0
endorsement,הֲסָבָה,0,0,0,0,0,0,0,0,0,0
endow,לְהַעֲנִיק,1,0,0,0,0,0,0,0,0,1
endowed,הניח,1,0,0,0,0,0,0,0,0,0
endowment,תרומה,1,0,0,0,0,0,0,0,0,1
endpapers,ח,0,0,0,0,0,0,0,0,0,0
endpoint,נקודת סיום,0,0,0,0,0,0,0,0,0,0
endurance,סיבולת,1,0,0,0,0,0,0,0,0,0
endure,לסבול,1,0,0,0,0,0,0,0,0,0
enema,חוֹקֶן,0,0,0,0,1,0,0,0,0,0
enemy,אוֹיֵב,0,1,1,0,1,1,0,0,0,0
energetic,נִמרָץ,1,0,0,0,0,0,0,0,0,0
energy,אֵנֶרְגִיָה,0,0,0,0,0,0,0,0,0,0
enforce,לֶאֱכוֹף,1,1,1,0,0,1,0,0,0,0
enforcement,אַכִיפָה,0,1,0,0,0,0,0,0,0,0
engage,לְהַעֲסִיק,0,0,0,0,0,0,0,0,0,0
engaged,מְאוּרָס,1,0,0,1,0,0,1,0,0,1
engagement,אירוסין,0,0,0,0,0,0,0,0,0,0
engaging,מרתק,1,0,0,0,0,0,1,0,0,1
engender,לְהוֹלִיד,0,0,0,0,0,0,0,0,0,0
engine,מנוע,0,0,0,0,0,0,0,0,0,0
engineer,מהנדס,0,0,0,0,0,0,0,0,0,0
engineering,הַנדָסָה,0,0,0,0,0,0,0,0,0,0
engrave,לַחֲרוֹט,0,0,0,0,0,0,0,0,0,0
engraved,חָרוּט,0,0,0,0,0,0,0,0,0,0
engraver,חָרָט,0,0,0,0,0,0,0,0,0,0
engraving,חֲרִיטָה,0,0,0,0,0,0,0,0,0,0
engrossed,שקוע,0,0,0,0,0,0,0,0,0,0
engrossing,מרתק,0,0,0,0,0,0,0,0,0,0
engulf,לִבלוֹעַ,0,0,0,1,0,0,0,0,0,0
enhance,לשפר,1,0,0,0,0,0,0,0,0,0
enigma,חִידָה,0,0,0,0,0,0,0,0,0,0
enigmatic,תָמוּהַ,0,1,0,0,0,1,0,0,0,0
enjoin,לְחַיֵב,0,0,0,0,0,0,0,0,0,0
enjoy,תהנה,1,0,0,1,0,0,1,0,0,1
enjoying,נהנה,1,0,0,1,0,0,1,0,0,1
enlarged,מוּגדָל,0,0,0,0,0,0,0,0,0,0
enlargement,הַגדָלָה,0,0,0,0,0,0,0,0,0,0
enlighten,לְהַאִיר,1,0,0,0,0,0,1,0,0,1
enlightenment,הֶאָרָה,1,0,0,0,0,0,1,0,0,1
enlist,להתגייס,0,0,0,0,0,0,0,0,0,0
enliven,לְהַחִיוֹת,1,0,0,0,0,0,1,0,1,1
enmity,אֵיבָה,0,1,1,0,0,1,0,1,0,0
enormity,ענק,0,0,0,0,0,0,0,0,0,0
enormous,עֲנָקִי,0,0,0,0,0,0,0,0,0,0
enormously,מְאוֹד מְאוֹד,0,0,0,0,0,0,0,0,0,0
enrich,להעשיר,1,0,0,0,0,0,0,0,0,0
enroll,לְהִרָשֵׁם,0,0,0,1,0,0,0,0,0,1
ensemble,מִכלוֹל,1,0,0,0,0,0,0,0,0,1
ensign,נֵס,1,0,0,0,0,0,0,0,0,0
enslave,לְשַׁעֲבֵּד,0,1,0,0,0,0,0,0,0,0
enslaved,מְשׁוּעֲבָּד,0,1,1,0,1,1,0,1,0,0
enslavement,שִׁעבּוּד,0,1,0,0,0,0,0,0,0,0
ensue,להתרחש,0,0,0,0,0,0,0,0,0,0
ensure,לְהַבטִיחַ,0,0,0,0,0,0,0,0,0,0
entail,כרוך,0,0,0,0,0,0,0,0,0,0
entangled,סָבוּך,0,1,1,0,1,1,0,1,0,0
entanglement,הִסתַבְּכוּת,0,1,0,0,0,0,0,0,0,0
enter,להיכנס,0,0,0,0,0,0,0,0,0,0
enterprise,מִפְעָל,0,0,0,0,0,0,0,0,0,0
enterprising,יוזמה,1,0,0,0,0,0,0,0,0,0
entertain,לְבַדֵר,1,0,0,0,0,0,1,0,0,0
entertained,מְבוּדָר,1,0,0,0,0,0,1,0,0,0
entertaining,מְשַׁעַשֵׁעַ,1,0,0,1,0,0,1,0,0,0
entertainment,בידור,1,0,0,1,0,0,1,0,1,1
enthusiasm,הִתלַהֲבוּת,1,0,0,1,0,0,1,0,1,0
enthusiast,נִלהָב,1,0,0,1,0,0,1,0,1,0
entice,לפתות,0,0,0,0,0,0,0,0,0,0
entire,שלם,0,0,0,0,0,0,0,0,0,0
entirety,שְׁלֵמוּת,0,0,0,0,0,0,0,0,0,0
entitle,לְזַכּוֹת,0,0,0,0,0,0,0,0,0,0
entity,יֵשׁוּת,0,0,0,0,0,0,0,0,0,0
entomology,אֶנטוֹמוֹלוֹגִיָה,0,0,0,0,0,0,0,0,0,0
entrails,קְרָבַיִם,0,1,0,0,1,0,0,0,0,0
entrance,כְּנִיסָה,0,0,0,0,0,0,0,0,0,0
entreat,לְהַפְצִיר,0,0,0,0,0,0,0,0,0,0
entree,זְכוּת כְּנִיסָה,0,0,0,0,0,0,0,0,0,0
entrepreneur,יזם,0,0,0,0,0,0,0,0,0,0
entrust,לְהַפְקִיד,0,0,0,0,0,0,0,0,0,1
entry,כְּנִיסָה,0,0,0,0,0,0,0,0,0,0
enumerate,לִמְנוֹת,0,0,0,0,0,0,0,0,0,0
enumeration,ספירה,0,0,0,0,0,0,0,0,0,0
envelope,מַעֲטָפָה,0,0,0,0,0,0,0,0,0,0
envious,מְקַנֵא,0,1,0,0,0,0,0,0,0,0
environ,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0
environment,סביבה,0,0,0,0,0,0,0,0,0,0
environs,פַּרוָרִים,0,0,0,0,0,0,0,0,0,0
envision,לַחֲזוֹת,0,0,0,0,0,0,0,0,0,0
envoy,שַׁגְרִיר,0,0,0,0,0,0,0,0,0,0
ephemeral,חֲלוֹף,0,0,0,0,0,0,0,0,0,0
ephemeris,ephemeris,1,0,0,0,0,0,0,0,0,0
epic,אפוס,1,0,0,0,0,0,0,0,0,0
epidemic,מַגֵפָה,0,1,1,1,1,1,0,1,1,0
epidermis,עִלִית הָעוֹר,0,0,0,0,0,0,0,0,0,0
epilepsy,אֶפִּילֶפּסִיָה,0,1,0,0,0,0,0,0,0,0
epilogue,אֶפִּילוֹג,0,0,0,0,0,0,0,0,0,0
episcopal,הֶגמוֹנִי,0,0,0,0,0,0,0,0,0,1
episode,פרק,0,0,0,0,0,0,0,0,0,0
episodic,אֶפִּיזוֹדִי,0,0,0,0,0,0,0,0,0,0
epistle,אִגֶרֶת,0,0,0,0,0,0,0,0,0,0
epitaph,epitaph,0,0,0,0,0,0,0,1,0,0
epithet,תוֹאַר,0,0,0,0,0,0,0,0,0,0
epitome,תַמצִית,1,0,0,0,0,0,0,0,0,0
epoch,תְקוּפָה,0,0,0,0,0,0,0,0,0,0
equal,שווה,0,0,0,0,0,0,0,0,0,0
equality,שוויון,1,0,0,0,0,0,1,0,0,1
equalization,שוויון,0,0,0,0,0,0,0,0,0,0
equalize,לְהַשְׁווֹת,0,0,0,0,0,0,0,0,0,0
equally,באופן שווה,1,0,0,0,0,0,0,0,0,0
equate,שווה,0,0,0,0,0,0,0,0,0,0
equation,משוואה,0,0,0,0,0,0,0,0,0,0
equator,אֶקְוָטוֹר,0,0,0,0,0,0,0,0,0,0
equatorial,מַשׁוָנִי,0,0,0,0,0,0,0,0,0,0
equestrian,פָּרָשִׁי,0,0,0,0,0,0,0,0,0,0
equidistant,שווה,0,0,0,0,0,0,0,0,0,0
equilibration,שיווי משקל,0,0,0,0,0,0,0,0,0,0
equilibrium,שִׁוּוּי מִשׁקָל,1,0,0,0,0,0,0,0,0,0
equip,לצייד,0,0,0,0,0,0,0,0,0,0
equipment,צִיוּד,0,0,0,0,0,0,0,0,0,0
equitable,הוֹגֶן,0,0,0,0,0,0,0,0,0,0
equity,הון עצמי,1,0,0,0,0,0,0,0,0,0
equivalence,שְׁקִילוּת,0,0,0,0,0,0,0,0,0,0
equivalent,המקבילה,0,0,0,0,0,0,0,0,0,0
equivocal,דוּ מַשְׁמָעִי,0,0,0,0,0,0,0,0,0,0
era,תְקוּפָה,0,0,0,0,0,0,0,0,0,0
eradicate,לְבַעֵר,0,1,1,0,0,0,0,0,0,0
eradication,עֲקִירָה,0,1,1,0,1,1,0,0,0,0
erase,לִמְחוֹק,0,1,0,0,0,1,0,0,0,0
erasure,מְחִיקָה,0,0,0,0,0,0,0,0,0,0
ere,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
erect,זקוף,0,0,0,0,0,0,0,0,0,0
erection,זִקפָּה,0,0,0,0,0,0,0,0,0,0
ergo,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
erode,לִסְחוֹף,0,0,0,0,0,0,0,0,0,0
erosion,שְׁחִיקָה,0,1,0,0,0,0,0,0,0,0
erotic,אֵרוֹטִי,1,1,0,1,0,0,1,0,1,1
err,לִטְעוֹת,0,1,0,0,0,0,0,0,0,0
errand,שְׁלִיחוּת,1,0,0,1,0,0,0,0,0,1
errant,תוֹעֶה,0,1,0,0,0,0,0,0,0,0
erratic,בִּלתִי יָצִיב,0,1,0,0,0,0,0,0,1,0
erratum,טעויות,0,1,0,0,0,0,0,0,0,0
erroneous,שָׁגוּי,0,1,0,0,0,0,0,0,0,0
error,שְׁגִיאָה,0,1,0,0,0,0,0,1,0,0
erst,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
erudite,מְלוּמָד,1,0,0,0,0,0,0,0,0,0
erupt,לְהִתְפַּרֵץ,0,1,1,0,0,0,0,0,1,0
eruption,הִתפָּרְצוּת,0,1,1,0,0,1,0,0,1,0
escalade,אסקלדה,0,0,0,0,0,0,0,0,0,0
escalate,לְהַסלִים,0,1,1,0,0,0,0,0,0,0
escalator,דְרַגנוֹעַ,0,0,0,0,0,0,0,0,0,0
escape,בריחה,1,1,0,1,0,1,0,0,0,0
escaped,ברח,0,0,0,0,0,1,0,0,0,0
escarpment,מַתלוּל,0,0,0,0,0,0,0,0,0,0
eschew,לְהִמָנַע,0,1,1,0,0,0,0,1,0,0
escort,לְלַווֹת,0,0,0,0,0,0,0,0,0,1
esoteric,אֵזוֹטֶרִי,0,0,0,0,0,0,0,0,0,0
especial,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
espionage,בִּיוּן,0,1,0,0,0,0,0,0,0,0
espouse,לְאַמֵץ,0,0,0,0,0,0,0,0,0,0
esprit,esprit,1,0,0,0,0,0,0,0,0,0
essay,מַסָה,0,0,0,0,0,0,0,0,0,0
essayist,מַסַאִי,0,0,0,0,0,0,0,0,0,0
essence,מַהוּת,0,0,0,0,0,0,0,0,0,0
essential,חִיוּנִי,1,0,0,0,0,0,0,0,0,0
essentially,למעשה,0,0,0,0,0,0,0,0,0,0
establish,לְהַקִים,0,0,0,0,0,0,0,0,0,1
established,מְבוּסָס,1,0,0,0,0,0,1,0,0,0
establishment,מוֹסָד,0,0,0,0,0,0,0,0,0,0
estate,נכס,0,0,0,0,0,0,0,0,0,0
esteem,הַעֲרָכָה,1,0,0,0,0,0,1,1,0,1
esthetic,אסתטי,1,0,0,0,0,0,0,0,0,0
estimate,לְהַעֲרִיך,0,0,0,0,0,0,0,0,0,0
estimation,אוּמדָן,0,0,0,0,0,0,0,0,0,0
estoppel,הֶשׁתֵק,0,0,0,0,0,0,0,0,0,0
estranged,מנוכר,0,1,0,0,0,0,0,0,0,0
estrogen,אסטרוגן,0,0,0,0,0,0,0,0,0,0
estuary,שֶׁפֶך,0,0,0,0,0,0,0,0,0,0
etch,לַחֲרוֹט,0,0,0,0,0,0,0,0,0,0
etching,תַחרִיט,0,0,0,0,0,0,0,0,0,0
eternal,נִצחִי,0,0,0,0,0,0,0,0,0,0
eternity,נֵצַח,0,0,0,0,0,0,0,0,0,0
ethanol,אתנול,0,0,0,0,0,0,0,0,0,0
ether,אֶתֶר,0,0,0,0,0,0,0,0,0,0
ethereal,שְׁמֵימִי,0,0,0,0,0,1,0,0,0,0
ethical,אֶתִי,1,0,0,0,0,0,0,0,0,0
ethics,אֶתִיקָה,1,0,0,0,0,0,0,0,0,0
ethnography,אֶתנוֹגרַפִיָה,0,0,0,0,0,0,0,0,0,0
etiology,אֶטִיוֹלוֹגִיָה,0,0,0,0,0,0,0,0,0,0
etiquette,כְּלָלֵי הִתְנַהֲגוּת,0,0,0,0,0,0,0,0,0,0
etymology,אֶטִימוֹלוֹגִיָה,0,0,0,0,0,0,0,0,0,0
euchre,euchre,0,0,0,0,0,0,0,0,0,0
eugenics,אֶבגֵנִיקָה,0,0,0,0,0,0,0,0,0,0
eulogy,הֶספֵּד,0,0,0,0,0,0,0,0,0,0
euphemism,לָשׁוֹן נְקִיָה,0,0,0,0,0,0,0,0,0,0
euthanasia,המתת חסד,0,1,0,0,0,1,0,1,0,0
evacuate,לְפַנוֹת,0,1,0,0,0,1,0,0,0,0
evacuation,פינוי,0,1,0,0,0,0,0,0,0,0
evade,לְהִתְחַמֵק,0,1,1,0,1,1,0,0,0,0
evaluate,להעריך,0,0,0,0,0,0,0,0,0,0
evanescence,ההתעלות,0,0,0,0,0,0,0,1,1,0
evangelical,אֶוַנְגֶלִי,0,0,0,0,0,0,0,0,0,0
evangelist,מַטִיף,0,0,0,0,0,0,0,0,0,0
evangelistic,אוונגליסטית,0,0,0,0,0,0,0,0,0,0
evaporation,אידוי,0,0,0,0,0,0,0,0,0,0
evasion,הִתחַמְקוּת,0,1,0,0,0,1,0,1,0,0
eve,עֶרֶב,0,0,0,0,0,0,0,0,0,0
evening,עֶרֶב,0,0,0,0,0,0,0,0,0,0
event,מִקרֶה,0,0,0,0,0,0,0,0,0,0
eventful,מאורע,0,0,0,0,0,0,0,0,0,0
eventual,בסופו של דבר,0,0,0,1,0,0,0,0,0,0
eventuality,אירוע,0,0,0,1,0,1,0,0,0,0
